月份,1,2,3,4,5,6,7,8,9,10,11,12,全年
2014,16.3,72.1,,,,,,,,,,,88.39999999999999
2013,26.2,58.0,147.3,413.7,299.7,312.6,52.3,194.4,99.3,12.7,129.2,61.5,1806.9
2012,117.8,84.1,160.1,285.1,197.2,487.0,200.5,141.7,129.7,32.8,162.1,68.9,2067.0
2011,26.8,58.0,118.1,58.6,276.7,421.8,75.2,63.0,63.2,43.0,36.8,13.1,1254.3
2010,113.2,4.0,30.8,455.9,235.0,530.7,193.9,18.6,124.1,6.0,22.4,121.1,1855.6999999999998
2009,11.1,23.4,152.6,189.3,369.9,335.2,565.2,24.4,66.9,21.3,52.8,54.3,1866.4
2008,35.2,117.8,151.6,120.5,395.0,541.7,178.3,213.1,97.2,69.1,207.7,13.4,2140.6
2007,88.8,124.6,77.5,145.6,153.8,453.6,124.1,66.3,75.0,0.1,11.4,76.5,1397.3
2006,86.4,124.3,101.2,255.8,270.6,417.4,270.7,88.3,18.3,13.1,113.6,8.5,1768.1999999999998
2005,49.1,119.4,186.9,82.0,436.3,644.8,68.5,90.4,70.9,13.5,56.0,59.6,1877.4
2004,74.5,43.2,111.6,107.3,303.6,301.7,473.2,97.7,5.7,0.0,286.1,38.3,1842.9000000000003
2003,108.4,79.4,88.7,192.1,462.6,303.7,29.3,48.3,145.2,48.9,28.0,20.1,1554.7
2002,70.3,85.3,223.3,197.2,663.7,758.0,215.6,169.3,10.1,193.5,22.9,197.8,2807.0000000000005
2001,65.1,50.7,96.6,257.4,198.9,228.7,283.8,89.7,2.0,80.4,38.5,27.3,1419.1
2000,41.4,53.3,178.8,273.5,384.9,432.4,67.5,228.5,201.4,147.3,28.0,19.1,2056.1
1999,56.9,22.6,52.4,263.4,259.2,237.0,558.3,405.8,44.1,69.6,46.5,2.2,2017.9999999999998
1998,89.9,105.6,191.4,181.3,327.8,766.7,297.4,73.8,20.3,44.6,27.4,17.2,2143.3999999999996
1997,100.2,63.2,130.7,323.5,199.1,212.8,310.1,238.7,80.0,70.2,50.6,170.4,1949.5
1996,89.3,17.0,305.8,381.1,407.2,288.7,323.9,230.9,3.1,29.5,8.4,21.5,2106.4
1995,91.8,106.7,107.9,257.3,186.7,302.4,50.9,129.6,80.6,75.4,22.6,11.7,1423.6000000000001
1994,21.8,113.8,127.6,223.1,280.3,601.8,252.1,330.6,41.2,172.9,15.0,86.1,2266.2999999999997
1993,90.0,218.7,100.8,273.3,436.5,516.3,458.4,54.7,368.4,48.5,75.4,17.7,2658.7
1992,70.7,152.9,202.8,174.3,489.1,547.5,214.5,11.5,71.5,6.5,11.4,70.8,2023.5000000000002
1991,105.3,136.0,128.1,117.9,221.0,328.8,237.5,84.5,5.3,62.3,98.8,59.0,1584.4999999999998
1990,130.3,122.0,324.5,146.8,418.4,242.1,145.5,23.3,44.6,122.4,81.0,37.9,1838.8
1989,92.8,78.7,147.3,234.4,324.9,289.7,221.4,140.7,56.6,4.5,14.2,34.8,1640.0
1988,24.8,125.1,50.7,131.3,197.4,370.0,153.0,324.1,94.6,21.7,1.2,5.4,1499.3000000000002
1987,42.5,95.0,182.1,205.7,312.4,302.7,185.7,155.6,102.4,226.4,86.7,0.3,1897.5
1986,25.5,75.8,102.1,166.2,255.0,253.5,407.9,93.0,26.6,85.4,188.8,17.7,1697.5
1985,27.4,206.3,106.4,227.6,223.1,312.6,125.0,148.9,104.8,59.6,102.9,32.7,1677.3000000000002
1984,25.2,34.0,58.6,175.4,376.9,182.4,80.0,192.6,104.4,50.1,91.8,84.7,1456.1
1983,60.7,178.0,116.0,112.6,360.0,362.7,87.8,221.3,257.3,85.7,42.3,59.0,1943.3999999999999
1982,63.2,151.7,112.0,279.1,431.2,453.9,94.4,276.0,76.2,85.8,246.2,40.7,2310.3999999999996
1981,57.1,112.1,209.4,398.9,221.4,375.0,197.0,79.0,75.2,96.2,84.4,3.8,1909.5000000000002
1980,136.3,145.4,155.1,285.3,296.7,221.7,269.8,287.3,61.6,113.6,23.1,48.6,2044.4999999999998
1979,43.8,100.2,140.1,221.2,456.7,257.5,138.3,211.7,67.4,2.5,6.1,40.9,1686.4
1978,48.9,25.7,173.5,381.4,798.2,205.0,138.1,69.2,57.7,4.6,110.4,43.8,2056.5
1977,60.9,40.1,34.3,235.8,379.5,573.4,215.0,207.8,25.8,257.9,19.1,92.2,2141.7999999999997
1976,13.6,74.6,77.7,194.8,406.7,336.8,588.6,133.7,24.3,286.5,26.5,18.7,2182.5
1975,51.7,66.1,183.7,438.5,527.0,261.9,141.1,119.1,87.6,60.9,68.2,50.0,2055.8
1974,105.5,82.6,57.0,257.9,148.9,338.3,582.9,40.5,3.6,28.6,1.7,57.0,1704.4999999999998
1973,85.2,52.3,199.0,293.6,470.5,295.4,176.0,254.7,65.5,90.2,91.0,1.4,2074.8
1972,12.6,81.8,111.3,297.3,392.7,180.0,72.4,62.8,126.8,135.5,228.3,86.1,1787.6
1971,38.2,63.5,32.8,268.9,362.2,356.6,149.7,368.2,74.6,27.4,11.3,52.6,1805.9999999999998
1970,65.6,67.3,143.6,290.4,441.7,429.3,374.7,177.5,51.1,80.5,50.2,105.0,2276.8999999999996
1969,77.2,14.1,76.7,155.7,178.5,240.0,151.3,220.4,42.2,168.6,33.9,3.4,1362.0000000000002
1968,72.2,28.6,108.6,333.6,464.6,724.0,400.8,257.2,47.8,14.1,131.4,80.1,2663.0
1967,13.9,90.9,179.3,241.1,370.2,146.5,119.7,286.9,104.1,2.7,152.8,66.3,1774.3999999999999
1966,67.6,73.1,94.9,345.4,142.8,315.9,256.3,14.4,1.4,166.3,50.7,33.2,1562.0
1965,36.4,79.5,112.0,388.1,242.6,109.6,40.1,172.3,24.0,234.2,174.0,66.9,1679.7000000000003
1964,114.2,66.4,167.0,388.7,75.6,653.6,187.0,93.1,119.2,88.5,0.4,9.4,1963.1000000000001
1963,0.5,129.1,207.6,145.8,280.0,89.5,120.4,83.9,52.1,45.5,152.8,98.3,1405.4999999999998
1962,11.4,28.6,85.2,137.2,285.6,417.3,145.7,150.0,125.2,113.2,46.2,18.1,1563.7
1961,40.0,96.2,115.4,503.7,184.3,291.5,221.0,168.6,43.6,34.8,119.4,117.9,1936.3999999999999
1960,19.9,13.4,211.0,109.5,408.9,89.9,183.9,140.0,151.3,112.6,166.9,24.5,1631.8
1959,53.1,169.6,117.0,257.9,325.7,451.9,209.1,322.6,43.2,45.1,89.8,74.6,2159.5999999999995
1958,75.7,59.4,48.0,176.7,215.7,324.4,429.8,125.0,78.5,55.2,42.0,16.2,1646.6000000000001
1957,86.0,97.3,111.1,171.3,405.2,226.6,108.2,135.1,12.3,107.7,104.0,40.8,1605.6
1956,39.1,97.0,197.2,161.8,434.0,383.1,93.7,151.9,11.1,45.6,46.1,16.8,1677.3999999999996
1955,19.0,65.8,104.3,55.9,264.7,241.4,388.0,290.9,42.7,11.9,55.6,34.7,1574.9
1954,96.0,59.1,55.7,692.1,434.0,441.0,120.9,153.4,46.2,10.5,9.8,43.5,2162.2000000000003
1953,129.1,120.4,196.9,152.3,543.2,195.3,107.0,52.3,126.8,218.1,61.6,154.0,2057.0
1952,49.6,106.0,187.5,437.7,488.4,193.1,550.6,221.8,33.8,107.7,0.1,9.2,2385.4999999999995
1951,46.4,41.7,154.5,450.5,148.3,401.0,271.6,125.2,157.9,282.3,172.8,83.1,2335.3
