整租 | 租房 龙华清湖双地铁 ，全新家具拎包入住，有全新公共,弓村二区,3060,https://sz.58.com/zufang/45364952983707x.shtml
整租 | 观澜四号线地铁口长湖站，观澜二小，华盛观荟一房一厅齐,华盛观荟(商住楼),2800,https://sz.58.com/zufang/45332071917236x.shtml
整租 | 鑫海公寓招租，只剩一套,鑫海公寓(龙华),2500,https://sz.58.com/zufang/45454191128084x.shtml
整租 | 四号线地铁站附近直租大两房一厅将装修拎包入住,弓村,2400,https://sz.58.com/zufang/45340538981774x.shtml
整租 | 龙华中心区域 商圈中心位置  一房整租 民水民电精装,创业花园,2299,https://sz.58.com/zufang/45419553130527x.shtml
整租 | 管理费6折！4号线红山地铁站拎包入住民水民电一房24,创业花园,2199,https://sz.58.com/zufang/45043442555556x.shtml
整租 | 老铁 租房看这里 带娃养老两不误 茜坑地铁站附近 小,美佳华首誉,3800,https://sz.58.com/zufang/45506088311817x.shtml
整租 | 急租龙华港铁四号线清湖北站口金凤凰大三房可当宿舍随时,金凤凰豪苑,3999,https://sz.58.com/zufang/45353903397257x.shtml
整租 | 房子总是要住的 为什么不挑自己喜欢的呢 选我 保证让,润达圆庭,2299,https://sz.58.com/zufang/45457155855905x.shtml
整租 | 花园电梯房 龙华ICO商场 松和小学旁边 龙华公寓精,警备区龙华公寓,2800,https://sz.58.com/zufang/43946545912999x.shtml
整租 | 华盛观荟，四号线长湖地铁口，龙华中心医院附近，小三房,华盛观荟,3300,https://sz.58.com/zufang/45340956885508x.shtml
整租 | 奥宸观壹城 2室1厅1卫 3000元月 电梯房 家电,奥宸观壹城,3000,https://sz.58.com/zufang/45318067231749x.shtml
整租 | 民治地铁站 直租 公寓精装修 家私家电齐全拎包入住,沙元埔村,2000,https://sz.58.com/zufang/45529763154060x.shtml
整租 | 深圳北站，民治地铁站附近，1房1厅，全家私家电，精装,民康花园,2200,https://sz.58.com/zufang/44701772709399x.shtml
整租 | 红山居家舒适一房 ，大阳台，通风舒适,金地上塘道(一期),4000,https://sz.58.com/zufang/45331513068817x.shtml
整租 | 龙华地铁口，富通天骏，居家温馨三房，业主诚心出租,富通天骏,4000,https://sz.58.com/zufang/45429400746765x.shtml
整租 | 近龙胜元芬地铁，物业直租，来电即可看房，家私家电齐全,龙胜新村,2000,https://sz.58.com/zufang/45484110121360x.shtml
整租 | 龙胜地铁站，羊台山脚下，精装大2房,龙军花园,3400,https://sz.58.com/zufang/45420196782120x.shtml
整租 | 近地铁，空中花园，自带大型商超，采光通风上好，拎包入,华盛观荟,4000,https://sz.58.com/zufang/45472651892919x.shtml
