第三问各食物摄入量/100g,Energy/kcal,Calcium/mg,Magnesium/mg,Iron/mg,Vitamin C/mg,Manganese/mg,Vitamin E/mg,Zinc/mg,Vitamin A/μg,Copper/mg,Potassium/mg,Phosphorus/mg,Sodium/mg,Selenium/μg,Yuan/100g
0.139633535965356,399.0,46.0,13.0,2.3,0.0,0.71,13.72,0.97,0.0,0.27,106.0,124.0,572.5,10.6,0.778
0.689043325555816,358.0,41.0,107.0,5.1,0.0,0.89,3.63,1.87,17.0,0.54,284.0,229.0,4.3,4.74,1.0
1.37220948384018,334.0,8.0,23.0,0.8,27.0,0.14,0.34,0.37,5.0,0.12,342.0,40.0,2.7,0.78,0.42000000000000004
0.622689173035721,335.0,31.0,11.0,6.4,0.0,0.15,0.0,0.27,0.0,0.05,18.0,16.0,9.3,3.39,0.7
0.25,243.0,42.0,2.0,8.0,0.0,0.33,4.37,0.32,0.0,0.13,139.0,68.0,23.5,0.89,0.36
0.32417179335724,212.0,12.0,131.0,6.0,0.0,11.7,8.76,8.21,0.0,0.61,1085.0,298.0,4.0,0.0,0.16
1.86572836985468,15.0,24.0,15.0,0.5,9.0,0.06,0.49,0.18,15.0,0.05,102.0,24.0,4.9,0.38,0.176
0.810099836788082,23.0,17.0,21.0,1.3,0.0,0.09,0.4,0.6,0.0,0.4,179.0,33.0,73.0,0.02,2.6
0.75,395.0,6.0,16.0,1.6,0.0,0.03,0.35,2.06,18.0,0.06,204.0,162.0,59.4,11.97,4.4
2.4283450170679,54.0,104.0,11.0,0.3,1.0,0.03,0.21,0.42,24.0,0.02,109.0,73.0,37.2,1.94,10.6
0.321654982932103,328.0,799.0,57.0,2.4,0.0,0.16,0.6,6.97,152.0,0.13,75.0,326.0,584.6,1.5,4.0
0.5,144.0,56.0,10.0,2.0,0.0,0.04,1.84,1.1,234.0,0.15,154.0,130.0,131.5,14.34,1.1
0.146150267831584,89.0,42.0,18.0,2.5,0.0,2.22,1.34,1.97,50.0,0.05,263.0,206.0,70.2,34.56,5.0
0.183459131514095,84.0,266.0,59.0,22.6,0.0,0.4,2.2,1.75,24.0,0.72,136.0,77.0,2011.7,21.38,31.8
0.0703906006543207,100.0,722.0,143.0,7.0,0.0,0.72,7.58,4.6,26.0,1.05,167.0,118.0,153.3,37.94,0.9
0.25,744.0,1.0,2.0,1.0,0.0,0.02,3.71,0.8,534.0,0.02,43.0,14.0,18.0,0.56,2.8
2.14248991839647,119.0,4.0,2.0,0.1,2.0,0.0,0.0,0.03,2.0,0.0,6.0,0.0,18.6,0.0,2.49
0.857510081603527,0.0,97.0,44.0,1.4,46.0,0.55,0.0,0.33,425.0,0.06,221.0,37.0,28.0,0.0,3.998
